word,original_vs_finetuned_cosine,shift_amount
cast,0.71831214,0.28168785572052
score,0.50644815,0.4935518503189087
plot,0.68655175,0.3134482502937317
screen,0.6050387,0.39496129751205444
review,0.5061691,0.49383091926574707
